code,Year,mort,malaria,gdp_pc,pov,edu,water,san
BDI,2005,124.3,298.306210120784,147.234619294225,32.3,74.3047637939453,,45.8870569615053
BDI,2006,117.1,278.362772404445,161.892755640319,67.1,74.3047637939453,,45.9023891144522
BDI,2007,109.8,237.547247447923,166.162744906755,67.1,74.3047637939453,,45.91453002842
BDI,2008,103.0,202.693030497666,189.502074570768,67.1,74.3047637939453,,45.9232637088484
BDI,2009,96.6,174.734303277644,199.097633037708,67.1,74.3047637939453,,45.9285444534239
BDI,2010,90.7,169.125101831404,216.727705301976,67.1,74.3047637939453,,45.930071391903
BDI,2011,85.1,163.753671978682,230.070577369084,67.1,74.3047637939453,,45.9277113706051
BDI,2012,80.0,164.658818624388,231.688496393569,67.1,74.3047637939453,,45.9213248562526
BDI,2013,75.3,171.894158741788,234.843045388828,64.9,74.3047637939453,,45.9106159973544
BDI,2014,71.0,180.61369351037,250.540481111877,64.9,10.9300003051758,,45.8955074527913
BDI,2015,67.3,199.352521285247,280.966831311923,64.9,10.9300003051758,,45.8757132011188
BDI,2016,64.0,232.14327149869,235.286205393908,64.9,10.9300003051758,,45.8510198644704
BDI,2017,61.1,249.792189442551,236.694472592753,64.9,18.0,,45.8212039832592
BDI,2018,58.6,287.231308346164,224.89939239264,64.9,18.0,,45.7860370850932
BDI,2019,56.3,290.888599911847,210.236494521532,64.9,18.0,,45.7452763887701
BDI,2020,54.2,298.68291317338,210.008139902508,64.9,18.0,,45.7275099507196
BDI,2021,52.3,284.007131422278,214.091455416133,64.9,18.0,,45.7093313882006
BDI,2022,50.5,261.401693895905,250.634225368744,64.9,18.0,,45.6906846411766
BDI,2023,50.5,261.401693895905,193.007145564804,64.9,18.0,,45.6906846411766
BEN,2003,126.8,470.195612914547,676.002878084282,64.9,18.0,,9.87676965998667
BEN,2004,123.9,488.901842966683,758.695803786371,64.9,18.0,,10.3400677635835
BEN,2005,121.1,494.038654780175,779.437777753268,64.9,18.0,,10.814694218731
BEN,2006,118.4,492.795768373025,809.147072506221,37.5,18.0,,11.3007400084745
BEN,2007,115.9,488.0070112946,912.338247188342,33.0,18.0,,11.7983015321379
BEN,2008,113.4,469.767648660766,1060.60254502099,33.0,18.0,,12.3071178648893
BEN,2009,111.0,439.576216509454,1024.10277858112,33.0,18.0,,12.8267358396861
BEN,2010,108.7,408.963963534769,973.244254493089,35.2,18.0,,13.3574318576564
BEN,2011,106.4,380.813005455267,1059.41358915783,36.2,36.8042030334473,,13.8991204082012
BEN,2012,104.2,364.564166566308,1071.52583567484,36.2,36.8042030334473,,14.4517136045026
BEN,2013,101.9,364.117694420166,1168.92699314206,36.2,36.8042030334473,,15.0147440721455
BEN,2014,99.6,369.022757187953,1204.39918700511,36.2,36.8042030334473,,15.5894570732653
BEN,2015,97.4,389.70726849696,1002.41886882564,40.1,36.8042030334473,,16.17540036159
BEN,2016,95.2,419.330227080879,1010.53389609187,40.1,36.8042030334473,,16.7724928532971
BEN,2017,93.0,420.503313894315,1054.97408141687,40.1,20.6630897521973,,17.3806539321045
BEN,2018,90.7,408.066858487073,1151.74096952152,38.5,33.6718482971191,,17.9998030901084
BEN,2019,88.3,401.714779384699,1130.82135304977,38.5,25.6372299194336,,18.6298545928192
BEN,2020,85.8,378.154274066621,1197.50136428063,38.5,25.6372299194336,,19.2707223290055
BEN,2021,83.3,383.450662639038,1318.83497843483,38.5,25.7668399810791,,19.3816144059671
BEN,2022,80.8,383.450662639038,1264.70765976655,38.5,37.6049003601074,,19.4935017104267
BEN,2023,80.8,383.450662639038,1394.37330217623,38.5,37.6049003601074,,19.4935017104267
BFA,2003,164.3,584.463590331398,362.373899996953,38.5,37.6049003601074,,12.2686574331796
BFA,2004,158.5,561.277547923814,403.81283743461,38.5,37.6049003601074,,13.1317299489599
BFA,2005,152.2,530.65224900291,441.164148016012,38.5,37.6049003601074,,13.9805995453405
BFA,2006,145.5,513.212126478443,455.513655620024,38.5,11.2700004577637,,14.8159146955023
BFA,2007,138.8,521.352064779237,514.684451177238,38.5,5.17000007629395,,15.5707854905595
BFA,2008,132.4,551.823983750403,619.437533256264,38.5,5.17000007629395,,16.2596775904484
BFA,2009,126.5,570.775683254631,601.569520671859,38.5,5.17000007629395,,16.9336302229932
BFA,2010,121.1,570.472881013623,624.957252224766,38.5,5.17000007629395,,17.5931679395271
BFA,2011,116.3,556.661523512119,725.024767725475,38.5,5.17000007629395,,18.2380244727644
BFA,2012,111.9,535.215171068473,731.470138867833,38.5,5.17000007629395,,18.8675829272628
BFA,2013,107.8,488.774131331051,759.762065168498,38.5,5.17000007629395,,19.4816080899317
BFA,2014,104.0,447.606368839091,764.861675106225,38.5,19.14479637146,,20.0801867081172
BFA,2015,100.4,419.282114240716,630.124750752312,38.5,19.14479637146,,20.6627379954545
BFA,2016,96.9,374.321120004267,663.742364842886,38.5,19.14479637146,,21.2290233625521
BFA,2017,93.6,357.614175298089,709.091535894695,38.5,19.14479637146,,21.7779198987319
BFA,2018,90.3,357.025623452757,777.465618514048,41.4,14.710000038147,,22.3095685822615
BFA,2019,87.3,356.663249273088,764.853077774946,41.4,17.2199993133545,,22.8240692453658
BFA,2020,84.3,377.402134851017,825.237038782475,41.4,17.2199993133545,,23.3206825506615
BFA,2021,81.4,376.771822989732,895.535288442991,43.2,21.2134208679199,,24.0411194450571
BFA,2022,78.8,353.678123439894,836.118304593682,43.2,24.8531322479248,,24.7564935540426
BFA,2023,78.8,353.678123439894,882.689810086163,43.2,18.7572841644287,,24.7564935540426
BWA,2003,74.4,1.53735263253061,4230.12326909926,43.2,18.7572841644287,,55.9306253316382
BWA,2004,73.6,0.987395094342072,4956.69287735214,43.2,18.7572841644287,,57.2354398758653
BWA,2005,69.4,1.16822709187158,5391.07076619634,43.2,18.7572841644287,,58.5484651662334
BWA,2006,65.3,3.75461800026902,5291.58379144849,43.2,18.7572841644287,,59.8707817877325
BWA,2007,64.0,0.990747400821738,5529.12574632532,43.2,18.7572841644287,,61.6023323152472
BWA,2008,63.5,1.8462398548857,5503.07395314313,43.2,18.7572841644287,,63.3424578727978
BWA,2009,61.1,2.00155471995901,5082.93388332404,19.3,18.7572841644287,,65.0869031781855
BWA,2010,58.7,1.60737735004121,6215.73216077919,19.3,18.7572841644287,,66.8374083076875
BWA,2011,58.7,0.482039096056538,7287.38295334919,19.3,18.7572841644287,,68.5923179945414
BWA,2012,54.2,0.210779864698741,6595.53845015424,19.3,18.7572841644287,,70.1498597100217
BWA,2013,51.3,0.493193923850858,6666.91219583487,19.3,18.7572841644287,,71.6801447936656
BWA,2014,50.4,1.38464043390294,7122.36423421503,19.3,18.7572841644287,,73.2176947943605
BWA,2015,48.6,0.297719923417275,6141.20394726616,16.1,18.7572841644287,,74.7620657947833
BWA,2016,47.4,0.630929389768172,6749.05994339013,16.1,18.7572841644287,,76.0173129165427
BWA,2017,44.3,1.83939546751354,7104.96401088027,16.1,18.7572841644287,,77.2692231997295
BWA,2018,43.7,0.495928281140881,7407.95940141786,16.1,18.7572841644287,,78.5138974205166
BWA,2019,42.6,0.155679401804916,7172.08956480028,16.1,88.0104141235352,,79.751688865621
BWA,2020,41.3,1.04489184717805,6323.31419156209,16.1,88.6575469970703,,80.026238683341
BWA,2021,39.9,0.61768970066524,7808.20623956293,16.1,89.253173828125,,80.2922288193525
BWA,2022,38.7,0.310809578669517,8329.04032229144,16.1,89.4666442871094,,80.5508168196432
BWA,2023,38.7,0.310809578669517,7820.23240375076,16.1,89.9594650268555,,80.5508168196432
CAF,2003,156.1,438.453616619082,278.403992150941,16.1,89.9594650268555,8.1277888097269,20.4536056364778
CAF,2004,152.5,442.385893255585,303.461321152782,16.1,89.9594650268555,7.99427543453696,20.40631886511
CAF,2005,148.7,444.161494608721,311.950023138687,16.1,89.9594650268555,7.86378242326338,19.9721489886999
CAF,2006,144.3,444.529465679572,333.942519903031,16.1,89.9594650268555,7.73617229496012,19.5450444000148
CAF,2007,140.2,437.358661239258,380.887048839475,16.1,89.9594650268555,7.61142944035955,19.1248922472729
CAF,2008,136.4,427.613245156454,437.24827472489,16.1,89.9594650268555,7.48929311659285,18.7110296424231
CAF,2009,132.5,418.691697301371,456.471673898404,16.1,89.9594650268555,7.36962769554587,18.3030851796557
CAF,2010,128.8,406.705096729296,476.873786950728,16.1,89.9594650268555,7.25241332361953,17.9009514050434
CAF,2011,125.4,394.234853515051,534.057281471636,16.1,89.9594650268555,7.13739945787107,17.504011935079
CAF,2012,122.4,384.788446414288,544.395849142785,16.1,89.9594650268555,7.02456234088729,17.1121604556915
